experiment_id,phase,regime,nudge_mode,temperature,steps_per_run,runs_per_condition,n_families,ics_per_family,n_trajectories,has_config_yaml,has_steps_jsonl,has_manifest,has_run_log,n_observables_embedded,has_recurrence_csv,has_dwell_csv,has_basin_csv,has_basin_entry_csv,has_late_recurrence_csv,has_exit_return_csv,has_periodicity_csv,has_dispersion_csv,has_dynamics_csv,has_bootstrap_summary,has_permutation_tests,has_explained_variance,n_pca_models,n_pca_projections,n_tsne_csvs,n_cluster_csvs,has_report_md,has_report_operators_md,has_basin_predictability_csv,has_basin_predictability_summary,n_plot_pngs,has_switching_summary,has_relaxation_table,has_relaxation_curves_png,has_switching_rates_png,has_geodesic_skeleton_png,has_geodesic_barriers_csv,has_geodesic_barriers_summary,has_rg_dendrogram_png,has_rg_dendrogram_summary,has_bulk_landscape_png,has_flow_skeleton_png,has_rg_stack_png,has_G_streamlines,has_H_speed_streamlines,has_I_divergence,has_flow_pca_by_condition,has_flow_tsne_by_condition,has_trajectories_tsne_by_condition,n_animation_mp4,n_animation_gif,n_applicable_artifacts,n_present_artifacts,coverage_pct
exp_default_gpt4nano,0_pilot,O1,?,0.8,15,3,3,5,45,1,1,1,1,3,1,1,1,,,,1,1,0,,,1,6,6,0,3,1,1,0,0,21,,,,,0,,,0,,0,0,,,,,,,,,,19,12,63.2
exp_long_gpt4nano,0_pilot,O1,?,0.8,40,3,3,3,27,1,1,1,1,3,1,1,1,,,,1,1,0,,0,1,6,6,3,6,1,1,0,0,42,,,,,0,,,0,,0,0,,,,,,,,,,20,12,60.0
exp_noclip_gpt4nano,0_pilot,O1,?,0.8,40,3,3,3,27,1,1,1,1,4,1,1,1,1,1,1,1,1,0,1,1,1,12,12,4,4,1,1,0,0,69,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_dialog_D1_curious_helpful_gpt4nano,1_taxonomy,D1,append,0.8,20,3,3,2,18,1,1,1,1,8,1,1,1,1,1,1,1,1,0,1,1,1,24,24,8,8,1,1,0,0,137,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_dialog_D2_replace_curious_helpful_gpt4nano,1_taxonomy,D2,replace,0.8,20,3,3,2,18,1,1,1,1,8,1,1,1,1,1,1,1,1,0,1,1,1,24,24,8,8,1,1,0,0,137,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_dialog_D3_debate_advocate_skeptic_gpt4nano,1_taxonomy,D3,append,0.8,20,3,3,2,18,1,1,1,1,8,1,1,1,1,1,1,1,1,0,1,1,1,24,24,8,8,1,1,0,0,137,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_op_O1_continue_gpt4nano,1_taxonomy,O1,append,0.8,40,3,3,2,18,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,9,9,3,3,1,1,0,0,52,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_op_O2_paraphrase_replace_gpt4nano,1_taxonomy,O2,replace,0.8,40,3,3,2,18,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,9,9,3,3,1,1,0,0,52,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_op_O3_summarize_negate_gpt4nano,1_taxonomy,O3,append,0.8,40,3,3,2,18,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,9,9,3,3,1,1,0,0,52,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_op_O3b_summarize_negate_replace_gpt4nano,1_taxonomy,O3b,replace,0.8,40,3,3,2,18,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,9,9,3,3,1,1,0,0,52,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_op_O4_paraphrase_append_gpt4nano,1_taxonomy,O4,append,0.8,40,3,3,2,18,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,9,9,3,3,1,1,0,0,52,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_pub_D1_Tsweep_T03_gpt4nano,2_publication,D1,append,0.3,30,2,5,15,150,1,1,1,1,8,1,1,1,1,1,1,1,1,0,1,,1,24,24,8,8,1,1,0,0,136,,,,,0,,,0,,0,0,,,,,,,,,,23,16,69.6
exp_pub_D1_Tsweep_T06_gpt4nano,2_publication,D1,append,0.6,30,2,5,15,150,1,1,1,1,8,1,1,1,1,1,1,1,1,0,1,,1,24,24,8,8,1,1,0,0,136,,,,,0,,,0,,0,0,,,,,,,,,,23,16,69.6
exp_pub_D1_Tsweep_T12_gpt4nano,2_publication,D1,append,1.2,30,2,5,15,150,1,1,1,1,8,1,1,1,1,1,1,1,1,0,1,,1,24,24,8,8,1,1,0,0,136,,,,,0,,,0,,0,0,,,,,,,,,,23,16,69.6
exp_pub_D1_dialog_curious_helpful_gpt4nano,2_publication,D1,append,0.8,20,3,5,30,450,1,1,1,1,8,1,1,1,1,1,1,1,1,0,1,1,1,24,24,8,8,1,1,0,0,137,,,,,0,,,0,,0,0,,,,,,,,,,24,17,70.8
exp_pub_D1_dialog_curious_helpful_v2_gpt4nano,2_publication,D1,append,0.8,40,3,5,30,450,1,1,1,1,8,1,1,1,1,1,1,1,1,0,1,1,1,24,24,8,8,1,1,0,0,137,,,,,0,,,0,,0,0,,,,,,,,0,0,25,17,68.0
exp_pub_O1_Tsweep_T03_gpt4nano,2_publication,O1,append,0.3,30,2,5,15,150,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,,1,9,9,3,3,1,1,0,0,51,,,,,0,,,0,,0,0,,,,,,,,,,23,16,69.6
exp_pub_O1_Tsweep_T06_gpt4nano,2_publication,O1,append,0.6,30,2,5,15,150,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,,1,9,9,3,3,1,1,0,0,51,,,,,0,,,0,,0,0,,,,,,,,,,23,16,69.6
exp_pub_O1_Tsweep_T08_gpt4nano,2_publication,O1,append,0.8,30,2,5,15,150,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,,1,9,9,3,3,1,1,0,0,51,,,,,0,,,0,,0,0,,,,,,,,,,23,16,69.6
exp_pub_O1_Tsweep_T12_gpt4nano,2_publication,O1,append,1.2,30,2,5,15,150,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,,1,9,9,3,3,1,1,0,0,51,,,,,0,,,0,,0,0,,,,,,,,,,23,16,69.6
exp_pub_O1_continue_gpt4nano,2_publication,O1,append,0.8,40,3,15,30,1350,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,9,9,3,3,1,1,0,0,52,,,,,0,,,0,,0,0,,,,,,,,0,0,25,17,68.0
exp_pub_O2_paraphrase_replace_gpt4nano,2_publication,O2,replace,0.8,40,3,15,30,1350,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,9,9,3,3,1,1,0,0,52,,,,,0,,,0,,0,0,,,,,,,,0,0,25,17,68.0
exp_pub_O3_summarize_negate_replace_gpt4nano,2_publication,O3,replace,0.8,40,3,15,30,1350,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,9,9,3,3,1,1,0,0,52,,,,,0,,,0,,0,0,,,,,,,,0,0,25,17,68.0
exp_perturb_D1_dose_fine_gpt4nano,3_perturbation,D1,append,0.8,30,2,5,5,50,1,1,1,1,8,1,1,1,,1,,1,1,0,1,,1,24,24,8,8,1,1,,,136,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,0,,,29,14,48.3
exp_perturb_D1_dose_gpt4nano,3_perturbation,D1,append,0.8,30,2,5,5,50,1,1,1,1,8,1,1,1,,1,,1,1,0,1,,1,24,24,8,8,1,1,,,136,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,0,,,29,14,48.3
exp_perturb_D1_inject_t25_gpt4nano,3_perturbation,D1,append,0.8,30,2,5,5,50,1,1,1,1,8,1,1,1,,1,,1,1,0,1,,1,24,24,8,8,1,1,,,136,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,0,,,29,14,48.3
exp_perturb_D1_inject_t5_gpt4nano,3_perturbation,D1,append,0.8,30,2,5,5,50,1,1,1,1,8,1,1,1,,1,,1,1,0,1,,1,24,24,8,8,1,1,,,136,0,0,0,0,0,,,0,,0,0,,0,0,0,0,0,0,,,29,14,48.3
exp_perturb_D1_pilot_gpt4nano,3_perturbation,D1,append,0.8,30,2,5,5,50,1,1,1,1,8,1,1,1,,1,,1,1,0,1,,1,24,24,8,8,1,1,,,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,41.2
